ID,SpeakerName,SpeakingContent,CharImage
1,“天才”,早上好！没想到你竟然坚持了这么久，很有精神啊！,Genius
2,“天才”,这次我要吃...咦？你不舒服吗？脸色好差劲。,Genius
3,我,天才小姐，我想问你一个问题。,
4,我,在这个人间，死亡到底是什么？人死后究竟会去哪里？,
5,我,我亲眼目睹了一位老人的死亡，我眼睁睁看到他在我眼前消散...,
6,我,这里是我旅途的终点吗？可我明明什么都不知道，为什么就要让我接受这些呢？,
7,我,你又是什么时代的人呢？你有想去的地方吗？,
8,“天才”,哎，年轻人还是太敏感了，命运无情...,Genius
9,“天才”,一辈子能见到无数只有几面之缘的人，要是每次都哭的话是会疯掉的。,Genius
10,我,年轻人？,
11,“天才”,我已经四百多岁了！有什么好奇怪的？没看到天堂地狱那帮家伙...哦，忘了你没去过。,Genius
12,我,所以，在来到这里之前我已经去世了...,
13,“天才”,别那么沮丧嘛。在这里人的寿命和常人是一样的，除此之外一个人是否能活得久，取决于被地上的人记得多久。,Genius
14,我,你你你竟然被记住了四百年！,
15,“天才”,当然了！作为中世纪后期伟大的发明家，我的科研贡献足足够后人写上百本书，自然就不会被遗忘了。如果人类文明一直存在，我可能还要活一千年，一万年...,Genius
16,我,那我呢？身为三界食堂的代理人，我的能力是什么，代价又是什么？,
17,“天才”,你是命定之人啊，是全村的希望！哼哼哼，在你来之前，我都不知道该怎么办了。,Genius
18,“天才”,你相信永生吗？你相信光吗？,Genius
19,“天才”,命定之人是我们这里流传的一种说法，本职是为这里所有人解脱的。我们被滞留在天堂和地狱之间，无处可逃，无处可去。这个时候，人们就需要一个英雄。,Genius
20,“天才”,这个被所有人指望挑唆的人曾经是我，但现在是你了！,Genius
21,我,欸..欸？！,
22,“天才”,灵啵食堂身为能够穿越三界的例外法则，也许能指引这里无功无过的灵魂找到真正往生的解脱。,Genius
23,“天才”,就因为一个生前的伟大头衔，我连死后都不得安宁，这是多大的悲哀啊！我决定把解脱所有人的责任转交给你啦，至于我嘛，我明天就去死!,Genius
