ID,SpeakerName,SpeakingContent,CharImage
1,我,（这段时间我也有些眉目了，关于“大人物”见到了自己死去的父母这件事...,
2,我,（这里并不是真的人间，这样一来老爷爷的年龄也就说得通了。,
3,我,（但究竟是什么让他停留了这么久...,
4,“鬼”,孩子，孩子。,Deserter
5,我,老爷爷？您认得我了！,
6,“鬼”,告诉你一个、一个好消息。,Deserter
7,我,什么好消息？,
8,“鬼”,俺、俺要走了。,Deserter
9,我,您这是找到家人了吗，是要回家了？,
10,“鬼”,不，不，是去别的地方...俺不知道的地方。,Deserter
11,我,您这是...,
12,“鬼”,老、老啦...终于，没人记得老、老鬼了。,Deserter
13,“鬼”,老鬼、不是、鬼怪、传说...,Deserter
14,“鬼”,时代、忘记，老鬼...逃兵...,Deserter
15,“鬼”,去、来去走...,Deserter
16,我,（被人们当成鬼怪传说一百五十年，人间的下一站会是哪里...,
17,“鬼”,小凤、歌、教你唱...,Deserter
18,“鬼”,你说、红尘有一段忘不掉的愁呀，往事如烟散、却还残留...,Deserter
19,“鬼”,世间聚、散离合...从来都不由人求...,Deserter
20,“鬼”,一片叶在飘零啊...没有目的漂流...,Deserter
21,我,老爷爷！,
