ID,SpeakerName,SpeakingContent,CharImage
1,我,（在这里工作还是挺清闲的，每天来的人也不多，甚至有些过于安静了。,
2,我,（这几天也试过问来往的食客问题，还用奇怪的眼神看着我。,
3,我,（不兑！怎么就自动代入全职打工人了？明明这家店以前和我没有任何关系..,
4,我,（反正也没几个客人，不如下午闭店在附近多打探打探吧。,
5,我,（什么声音？！振动音响？,
6,我,外面是谁？,
7,“大人物”,你这新老板怎么敢对大名鼎鼎的我无礼？我可是人间最珍贵的客人之一，自带神圣环魅力体质...,Celebrity
8,我,（确认过眼神，是个现代人。,
9,我,那个，你干扰到我做生意了。,
10,“大人物”,干扰？看到我这身显贵的穿搭就该知道，你的金主大人来了！,Celebrity
11,“大人物”,啊，这里的环境远不如我之前去的米基林十八星主题餐厅，勉为其难吃点好了。,Celebrity
12,我,(｀皿´＃) 不喜欢可以不用勉强的，本来小店也打算打烊了。,
13,我,我进来了。,
14,粉丝,偶像我们喜欢你！,
15,旁白,（随着他走进店门，一批批的粉丝兼食客涌了进来,
16,我,....,
17,我,我的假期啊！！,
18,“大人物”,放假有什么好的，无聊又漫长，都害得我不能享受被粉丝簇拥的感觉了。,Celebrity
19,我,（你这人是不是有什么奇怪的癖好...,
20,我,休息、放松、探索、解锁更多玩法！你想想看，这些活动哪个不比上班舒服？,
21,“大人物”,这些都不是我该考虑的范围。,Celebrity
22,“大人物”,"（撒币）你的假期我买了,把店里最贵最漂亮的食物端上来，今天全场订单我双倍支付。",Celebrity
23,我,（可恶...居然是金币吗...那只能屈服了!,
