ID,SpeakerName,SpeakingContent,CharImage
1,“大人物”,我要吃饭。,Celebrity
2,我,怎么这个表情，不开心吗？难道是最近热度又降低了？,
3,我,我给你煮锅变态苦苦瓜浓汤怎么样！既清热去火，又保证一口下去超有节目效果哦！,
4,“大人物”,我今天很认真的，你听我说。,Celebrity
5,“大人物”,我今天遇到熟人了。,Celebrity
6,我,唔，方便告诉我是谁吗？朋友还是同事？,
7,“大人物”,是我的父母。,Celebrity
8,我,咦！！！,
9,“大人物”,我还以为会和他们死生不复相见呢，没想到最后又都来到了这里...真是冤家路窄。,Celebrity
10,我,你你你说你见到了你的父母，那岂不是...,
11,“大人物”,我和他们都算半个仇人了，你不知道在我小时候他们是怎么对我的！,Celebrity
12,“大人物”,7岁那年，我偶然获得了登台的机会，意外一炮而红。从此以后，他们就开始对我进行惨无人道的打压教育！,Celebrity
13,“大人物”,为了让我不断登台赚钱，他们克扣我吃饭睡觉的时间，练习、工作、练习...,Celebrity
14,“大人物”,那时我就想，原来热度和工作才是我亲爹亲妈。,Celebrity
15,“大人物”,既然这样我也就不留情面喽，成年之后我就离开了“表爸表妈”的家。,Celebrity
16,“大人物”,可是不对，我还是觉得不对！既然他们把我当成无情的印钞机器，那为什么资源和教育要倾家荡产给我最好的？他们到底想要看到我的报答还是我的爱？,Celebrity
17,“大人物”,到底是什么样的坏人，才能做到让我又恨又挂念又焦虑呢？,Celebrity
18,我,（叹）血脉的链接比爱与恨更加复杂呢...已经过去很多年了吧？也许你们可以试着聊聊当年和现在的想法。,
19,“大人物”,我不敢，我不敢看他们的眼睛...他们什么都不说，羞愧又从何而来？他们是后悔了还是害怕了？这些情绪可比粉丝的喜欢和讨厌复杂多了...,Celebrity
20,“大人物”,就让我再灵泊狱躲一躲吧，我想恐怕下辈子我也越不过这道鸿沟。,Celebrity
21,我,（灵泊狱...,
