ID,SpeakerName,SpeakingContent,CharImage
1,我,(意识在黑暗里浮沉...,
2,我,(头痛...头痛...,
3,我,这里...是哪?,
4,“天才”,"呀,命定之人,你终于醒啦.",Genius
5,我,"命,命定之人?",
6,“天才”,"让我用最直白最不绕弯子的话告诉你,你已经成为了这座灵啵食堂新一届命定打工人.",Genius
7,我,打工?我?在这里?,
8,我,"(陌生的环境、奇装异服的人...还是先和家人取得联系比较好,免得他们担心了.",
9,我,(!!!没有手机!,
10,我,(好在口袋里还有一点钱...,
11,我,那个...您可以借我一下电话吗?我想联系一下家人.我可以支付酬劳的.,
12,“天才”,"电话?新潮货!我没有.我最近在卖蒸汽大象钟,感兴趣的话给你打折!",Genius
13,我,"不用了,谢谢.那我可以问您一些问题吗?",
14,“天才”,"当然可以!身为原住民,我知道的情报肯定比你一个异邦人多.",Genius
15,“天才”,"我可以告诉你很多关于这里的线索,至于酬劳,来给我做饭吧!我现在很饿.",Genius
16,我,(这也太草率了吧!我也完全不记得自己手艺怎么样...,
17,“天才”,"快点快点,我的耐心是有限的喔.【显化耐心值】",Genius
18,“天才”,先点击配方查看菜品做法.【引导点击配方Btn】,Genius
19,“天才”,"记住了吗?没记住也没关系,可以随时点开再查看.【引导点击关闭配方面板】",Genius
20,“天才”,现在前往备菜区.【引导点击备菜区】,Genius
21,“天才”,"食材集中在食材格、冰箱和橱柜里,点击查看.把需要的食材拖到菜板或榨汁机上处理吧!",Genius
22,“天才”,"有些食材需要二次处理哦,完成处理的食材会出现在烹调区柜子上.",Genius
23,“天才”,点击进入烹调区.【引导点击烹调区】,Genius
24,“天才”,"点击选锅按钮,为订单选择一个合适的锅.【引导点击选锅按钮】",Genius
25,“天才”,"把所有材料都拖进厨具,完成操作后开火,等待进度条来到阈值.小心不要烧糊了!",Genius
26,“天才”,"流口水了!现在拖出成品菜,放在这里.【显化餐垫】",Genius
27,“天才”,"点击送餐铃,菜品消失订单就是完成了.【显化送餐铃】",Genius
