ID,SpeakerName,SpeakingContent,CharImage
1,“天才”,(´∀｀),Genius
2,我,.......,
3,“天才”,没什么想对我说的吗？比如以后会永远怀念我之类的？,Genius
4,我,.......,
5,“天才”,真是的，还有什么问题要问的话也可以哦。,Genius
6,我,我在想，你走之后我能活多久呢？,
7,“天才”,安啦，据我近日对你的观察，你没有那么脆弱，san值很稳定哦~,Genius
8,我,一个甚至没有记忆支撑的人，如果有幸成为“英雄”的话，会成为第二个你吗？还是和那些短命店长一样，将绝望继续传给死后失忆的人。,
9,我,在你离开之前，我可以知道你的名字吗？在这里，我已经见过太多的人了：迷茫的、普通的、没有名字的。,
10,我,我想知道你的名字，并不是为了供奉一个几百岁的发明家，而是多想记住一个只有几面之缘的朋友。,
11,我,既然灵魂除了死亡消散还有别的出路，我只好代替你去看往生的奇迹了。从今以后好好休息吧，天才小姐。,
12,“天才”,天啊，天啊！你简直太傲慢了，比地狱里的家伙们傲慢一百倍！,Genius
13,“天才”,真讨厌啊...我这个老家伙的风头被年轻人抢走的感觉...,Genius
14,“天才”,怎么办怎么办..我好像有点喜欢你了！我叫西西弗，希望你永远记住我！不，我想得到更多，我要和你做朋友！,Genius
15,西西弗,年轻人，你想对抗命运吗？,
16,西西弗,让我们找一块石头，砸碎这个笼子！在天堂与地狱之外走出第三条路！,
17,我,（好中二...总算知道为什么西西弗这样有大功的人为什么会被投入灵泊狱了...,
18,西西弗,走吧，走吧，好朋友！带你到处逛逛，好早日出师拯救全亡灵啊！,
