ID,SpeakerName,SpeakingContent,CharImage
1,我,（这几天生意肉眼可见地越来越好了，但还是没发现什么重大线索。,
2,我,（说不定勤勤恳恳打工本来就是发现真相的一部分？,
3,“大人物”,老板，把菜单上所有食物全部来三份。,Celebrity
4,我,（错觉吗？感觉他身后已经没什么人了。,
5,我,这么多，你和你的粉丝加起来都吃不完吧。,
6,“大人物”,让你做你就做！本明星有的是钱，可以按两倍...三倍！,Celebrity
7,我,不不不，拒客。,
8,“大人物”,你！连你怎么也这样?,Celebrity
9,我,小店可是有原则的，拒绝过度浪费食物的家伙。,
10,我,还有，什么叫“也”？,
11,“大人物”,自从来到这里后，我一直想创造个和我有关的劲爆话题。,Celebrity
12,“大人物”,你知道的，如果一个公众人物太久没有产出热度话题，就和“社会性死亡”没什么区别了。,Celebrity
13,我,所以你选择来我这里当大胃王？,
14,“大人物”,ヽ(≧Д≦)ノ这只是下下策！,Celebrity
15,我,看来上上策和中中策都失败了。,
16,“大人物”,最近我试过直播整活、试过故意迟到耍大牌、试过找人演黑粉和我对骂。,Celebrity
17,“大人物”,全都没用！根本没有水花！,Celebrity
18,“大人物”,我就想来你这里消费一把，到时候“某明星街头失控暴食”总能上个热搜吧。,Celebrity
19,我,竟然为了流量自愿走黑红路线...,
20,“大人物”,假清高，世道不就是这样，有关注才有钱赚，才有被认可的资格。没有钱，连最亲的家人都可能翻脸。,Celebrity
21,“大人物”,我勤勤恳恳这么久，为的都是我的以后。,Celebrity
22,我,你的家人对你不好吗？,
23,“大人物”,不重要，他们已经去世了。,Celebrity
24,我,抱歉。,
25,我,我还是想劝你休息一段时间，灵感可不是硬挤出来的。你的黑眼圈都占据半张脸了。,
26,“大人物”,怎么可能？我今早特意扑了两小时粉底...,Celebrity
27,我,粉底可遮不住透出来的气色，我感觉你的san值都要掉光了。,
28,我,快进来，早上食材齐全，什么菜都有哦。,
29,“大人物”,你刚不是说拒绝我来...,Celebrity
30,我,小店拒绝浪费食物的人，但从不拒绝好好吃饭的食客。,
31,我,来点甜的恢复一下灵感怎么样？,
32,“大人物”,ฺ(*´◡`)...好吧，要一份最配得上本明星的套餐！,Celebrity
