ID,SpeakerName,SpeakingContent,CharImage
1,“天才”,早上好！看来你在这里适应得还不错嘛。,Genius
2,我,...看到你下意识准备零帧起手做饭了。今天打算来吃霸王餐吗？,
3,“天才”,霸王餐？我可不是这样的人！之前只是口嗨，我会付钱的。,Genius
4,我,你还是吃霸王餐吧，我想听更多的信息。,
5,“天才”,盛情难却...好吧，你问吧。,Genius
6,我,我到底为什么会失去记忆？难道我把这家餐厅经营好了，日子就有盼头了吗？,
7,“天才”,别那么理想化，生活哪有那么容易有盼头。我曾经熬走了很多像你一样的经理，他们要么太累干不下去了，要么就因为太老死掉了。,Genius
8,我,（好沉重，前途一片黑暗啊...,
9,我,他们一开始也失去了记忆吗？,
10,“天才”,是的，要想继承这家总部大楼在人间的三界口碑No.1大食堂，失忆是正常的。不然我怎么会称你为“命定之人”呢~,Genius
11,我,命定吗？感觉这座食堂也没什么要我继承的...,
12,“天才”,在傍晚，你可以看到这里的全貌：灵啵食堂是由巨大的滑轮和缆绳吊着的，像电梯一样可以上升和下降。除了我们平时所在的人间，还有别的地方可去呢。,Genius
13,“天才”,如果你开拓成功了，就可以继承灵啵食堂分部，赚钱多多！怎么样？有没有很诱惑？,Genius
14,我,我不要很多钱，我只要...,
15,“天才”,打住打住。以我自身的经验告诉你，刨根知底不一定是好事。,Genius
16,我,可你身上的这些小发明也是靠坚持科研才能创造出来的吧。,
17,“天才”,其实我是天赋异禀啦，时势造英雄，我上次研究大象钟还是在上次。,Genius
18,“天才”,这些小玩意纯属是我的兴趣，谁能想到人们这么轻易就它们当成了神物，还为我出了上百本书！,Genius
19,我,（怎么有种在凡尔赛的感觉...,
20,“天才”,言归正传，你可以把这段时间当成命运对食堂经理的考验，我看到的前人大多数都失败了，但也许你不一样。,Genius
21,“天才”,不过在这里生活也很开心不是吗？如果不强求离开的意义，就把真相当成天上的浮云吧~,Genius
