ID,SpeakerName,SpeakingContent,CharImage
1,“鬼”,......,Deserter
2,我,您好？,
3,“鬼”,......,Deserter
4,我,额，您要吃什么吗？,
5,“鬼”,......,Deserter
6,我,您是不是有些困难？不介意的话，我可以给你做碗吃的，免费的哦。,
7,“鬼”,求...见...,Deserter
8,“鬼”,我错了...我错了...,Deserter
9,我,（这个老爷爷是不是精神上有些问题，先带他入座吧。,
10,我,您稍等一下，我去给您煮碗肉汤。,
11,“鬼”,你...有没有见过小凤...,Deserter
12,我,（这两天没听过这个名字，更别说我之前的记忆都没有了。,
13,我,抱歉，我没有听过。,
14,“鬼”,我...我要回到过去...,Deserter
15,我,（完全交流不了啊...,
16,某食客,别看这老头神神叨叨的，他可是相当长寿呢。,
17,某食客,没记错的话，他好像一百五十岁以上了？,
18,我,一百五十岁！,
19,某食客,是啊，身体康健着呢，附近的人都叫他老鬼。,
20,“鬼”,小龙...小凤...,Deserter
21,我,您是在找家人吗？,
22,“鬼”,对，对！俺儿子、俺女儿、俺媳妇儿...找不到，俺出不去了...,Deserter
23,我,（共情）我也联系不到家人了，我甚至忘了他们叫什么名字，现在是否担心我。,
24,我,所以如果您有需要的话请常来，我可以给您提供食物和帮助，如果有您家人的线索，也一定会第一时间通知您。,
25,“鬼”,好...好...,Deserter
